code,type,object,code_name,error_name
"01010101","Access","Granted","User","ID"
"01010102","Access","Granted","User","Card"
"01010103","Access","Granted","User","FP"
"01010104","Access","Granted","User","ID and Card"
"01010105","Access","Granted","User","ID and FP"
"01010106","Access","Granted","User","Card and FP"
"01010107","Access","Granted","User","ID and Card and FP"
"01010108","Access","Granted","User","Duress"
"01010109","Access","Granted","User","Lock Down On"
"0101010A","Access","Granted","User","Lock Down Off"
"01010201","Access","Granted","Temp Parking","ID"
"01010202","Access","Granted","Temp Parking","Card"
"01010203","Access","Granted","Temp Parking","FP"
"01010204","Access","Granted","Temp Parking","ID and Card"
"01010205","Access","Granted","Temp Parking","ID and FP"
"01010206","Access","Granted","Temp Parking","Card and FP"
"01010207","Access","Granted","Temp Parking","ID and Card and FP"
"01010208","Access","Granted","Temp Parking","Duress"
"01010209","Access","Granted","Temp Parking","Lock Down On"
"0101020A","Access","Granted","Temp Parking","Lock Down Off"
"01010301","Access","Granted","Regular Parking","ID"
"01010302","Access","Granted","Regular Parking","Card"
"01010303","Access","Granted","Regular Parking","FP"
"01010304","Access","Granted","Regular Parking","ID and Card"
"01010305","Access","Granted","Regular Parking","ID and FP"
"01010306","Access","Granted","Regular Parking","Card and FP"
"01010307","Access","Granted","Regular Parking","ID and Card and FP"
"01010308","Access","Granted","Regular Parking","Duress"
"01010309","Access","Granted","Regular Parking","Lock Down On"
"0101030A","Access","Granted","Regular Parking","Lock Down Off"
"01010401","Access","Granted","Free Parking","ID"
"01010402","Access","Granted","Free Parking","Card"
"01010403","Access","Granted","Free Parking","FP"
"01010404","Access","Granted","Free Parking","ID and Card"
"01010405","Access","Granted","Free Parking","ID and FP"
"01010406","Access","Granted","Free Parking","Card and FP"
"01010407","Access","Granted","Free Parking","ID and Card and FP"
"01010408","Access","Granted","Free Parking","Duress"
"01010409","Access","Granted","Free Parking","Lock Down On"
"0101040A","Access","Granted","Free Parking","Lock Down Off"
"01010501","Access","Granted","Free Sub Parking","ID"
"01010502","Access","Granted","Free Sub Parking","Card"
"01010503","Access","Granted","Free Sub Parking","FP"
"01010504","Access","Granted","Free Sub Parking","ID and Card"
